location,Grand Total,predicted
azad maidan,1,1
bandra,17,0
bhoiwada,2,1
bkc,10,3
borivali,11,3
byculla,1,1
chembur,28,2
chunabhatti,1,1
colaba,3,1
d.b.marg,2,1
dadar,26,2
dahisar,10,3
deonar,1,1
dharavi,4,1
dindoshi,9,3
ghatkopar,5,1
goregaon,20,0
jogeshwari,12,3
kalbadevi,3,1
kandivali,8,3
kanjurmarg,1,1
kurla,12,3
mahim,3,1
azad maidan,3,1
malad,21,0
malbarhill,1,1
mankhurd,7,3
marinedrive,1,1
matunga,14,0
MHB,1,1
MIDC,13,3
mulund,14,0
D.N. nagar,38,2
nagpada,3,1
oshiwara,8,3
powai,10,3
pydhunie,5,1
sahar police station,16,0
sakinaka,9,3
samtanagar,11,3
Santacruz,17,0
tardeo,12,3
Trombey,1,1
vakola,10,3
vikhroli,8,3
wadala,4,1
worli,9,3
